City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Goiatuba,BR,2022-02-01 20:58:24,-18.0125,-49.3547,73.62,88,100,1.01
1,Arlit,NE,2022-02-01 20:58:24,18.7369,7.3853,64.71,11,3,8.14
2,Lagoa,PT,2022-02-01 20:58:02,39.05,-27.9833,58.44,75,59,17.4
3,Provideniya,RU,2022-02-01 20:58:25,64.3833,-173.3,8.67,66,4,22.95
4,Jamestown,US,2022-02-01 20:57:30,42.097,-79.2353,39.94,84,100,16.02
5,Chimbote,PE,2022-02-01 20:58:25,-9.0853,-78.5783,75.2,69,100,11.21
6,Avarua,CK,2022-02-01 20:58:26,-21.2078,-159.775,82.45,78,20,11.5
7,Arraial Do Cabo,BR,2022-02-01 20:58:26,-22.9661,-42.0278,78.76,89,75,9.22
8,Minsk,BY,2022-02-01 20:55:00,53.9,27.5667,24.55,95,100,9.4
9,Salinas,US,2022-02-01 20:54:26,36.6777,-121.6555,61.52,35,0,7.85
10,Angul,IN,2022-02-01 20:58:27,20.85,85.1,61.79,37,5,2.55
11,Hilo,US,2022-02-01 20:57:28,19.7297,-155.09,77.25,75,57,4.0
12,Havelock,US,2022-02-01 20:55:38,34.8791,-76.9013,56.05,52,0,5.99
13,Rikitea,PF,2022-02-01 20:54:59,-23.1203,-134.9692,78.21,70,91,5.97
14,Bilibino,RU,2022-02-01 20:58:03,68.0546,166.4372,5.76,65,100,6.17
15,Port Hardy,CA,2022-02-01 20:53:58,50.6996,-127.4199,41.18,81,100,5.75
16,Sao Joao Da Barra,BR,2022-02-01 20:58:28,-21.6403,-41.0511,86.09,86,93,5.66
17,Puerto Ayora,EC,2022-02-01 20:58:28,-0.7393,-90.3518,82.36,92,76,4.0
18,Port Alfred,ZA,2022-02-01 20:54:11,-33.5906,26.891,77.23,82,100,9.15
19,Busselton,AU,2022-02-01 20:58:29,-33.65,115.3333,61.05,67,21,18.28
20,Victoria,HK,2022-02-01 20:54:55,22.2855,114.1577,61.25,91,100,1.99
21,Chalchihuites,MX,2022-02-01 20:58:29,23.4833,-103.8833,68.41,7,0,17.98
22,Vaini,TO,2022-02-01 20:58:30,-21.2,-175.2,82.56,78,75,4.61
23,Barrow,US,2022-02-01 20:54:57,71.2906,-156.7887,-23.03,100,24,6.11
24,Ponta Do Sol,PT,2022-02-01 20:58:30,32.6667,-17.1,67.01,72,48,11.81
25,Bathsheba,BB,2022-02-01 20:58:31,13.2167,-59.5167,84.81,61,20,14.97
26,Kavaratti,IN,2022-02-01 20:58:31,10.5669,72.642,79.95,71,2,9.42
27,Laguna,US,2022-02-01 20:55:34,38.421,-121.4238,62.44,28,0,11.01
28,Khandbari,NP,2022-02-01 20:58:31,27.3747,87.2039,42.84,76,30,4.5
29,Katsuura,JP,2022-02-01 20:57:47,35.1333,140.3,39.31,43,42,15.32
30,Alice Springs,AU,2022-02-01 20:56:07,-23.7,133.8833,71.15,100,100,9.22
31,Marzuq,YE,2022-02-01 20:58:32,14.4,46.4667,63.43,78,53,4.56
32,Kathmandu,NP,2022-02-01 20:53:52,27.7167,85.3167,41.22,93,20,3.44
33,Nikolskoye,RU,2022-02-01 20:58:33,59.7035,30.7861,24.69,98,100,2.86
34,Oksfjord,NO,2022-02-01 20:58:33,70.2396,22.3479,25.72,52,90,10.54
35,Saint George,US,2022-02-01 20:57:10,37.1041,-113.5841,54.07,24,10,3.0
36,Magadan,RU,2022-02-01 20:58:34,59.5667,150.8,-0.6,78,53,10.85
37,Castro,BR,2022-02-01 20:58:34,-24.7911,-50.0119,75.72,72,4,4.79
38,Zarubino,RU,2022-02-01 20:58:34,42.63,131.0922,14.94,65,1,17.65
39,Dawei,MM,2022-02-01 20:58:35,14.0833,98.2,68.61,92,85,3.38
40,Korla,CN,2022-02-01 20:58:35,41.7597,86.1469,23.02,45,22,2.01
41,Tasiilaq,GL,2022-02-01 20:58:35,65.6145,-37.6368,0.97,71,96,6.35
42,Atuona,PF,2022-02-01 20:58:36,-9.8,-139.0333,78.57,70,17,21.61
43,Mvuma,ZW,2022-02-01 20:58:36,-19.2792,30.5283,66.79,79,94,5.97
44,Shemonaikha,KZ,2022-02-01 20:58:36,50.6328,81.9056,-7.06,94,10,2.82
45,Galesong,ID,2022-02-01 20:58:37,-5.3166,119.3661,75.22,83,100,3.8
46,Fortuna,US,2022-02-01 20:57:22,40.5982,-124.1573,51.93,56,0,5.01
47,Bluff,NZ,2022-02-01 20:59:37,-46.6,168.3333,73.8,71,100,13.18
48,Mahebourg,MU,2022-02-01 20:55:08,-20.4081,57.7,79.09,94,75,19.57
49,Sarangani,PH,2022-02-01 20:59:38,5.4033,125.4636,81.55,73,100,19.33
50,Kapaa,US,2022-02-01 20:57:33,22.0752,-159.319,78.12,69,58,1.01
51,Hobart,AU,2022-02-01 20:59:38,-42.8794,147.3294,54.05,57,20,1.01
52,Maumere,ID,2022-02-01 20:59:39,-8.6199,122.2111,78.73,83,55,9.55
53,Punta Arenas,CL,2022-02-01 20:58:46,-53.15,-70.9167,53.62,50,40,42.57
54,Puerto Escondido,MX,2022-02-01 20:59:39,15.85,-97.0667,85.12,56,1,15.17
55,Birecik,TR,2022-02-01 20:59:40,37.0294,37.9903,42.01,89,100,5.21
56,Wajima,JP,2022-02-01 20:59:40,37.4,136.9,38.16,59,100,21.07
57,Cap-Aux-Meules,CA,2022-02-01 20:59:40,47.3821,-61.8597,17.65,67,75,10.36
58,Pevek,RU,2022-02-01 20:59:41,69.7008,170.3133,-12.44,86,98,3.49
59,Melito Di Porto Salvo,IT,2022-02-01 20:59:41,37.9222,15.7714,53.78,46,20,19.57
60,Coquimbo,CL,2022-02-01 20:59:41,-29.9533,-71.3436,71.33,60,0,12.66
61,Yellowknife,CA,2022-02-01 20:56:30,62.456,-114.3525,-19.59,69,0,11.5
62,Albany,US,2022-02-01 20:59:42,42.6001,-73.9662,35.62,52,42,1.99
63,Inverness,GB,2022-02-01 20:59:42,57.4791,-4.224,44.22,77,75,3.0
64,Arroio Grande,BR,2022-02-01 20:59:43,-32.2375,-53.0869,78.31,35,0,11.56
65,Georgetown,MY,2022-02-01 20:57:49,5.4112,100.3354,82.33,88,20,3.0
66,Tsagan Aman,RU,2022-02-01 20:59:43,47.5639,46.7218,30.87,96,98,6.98
67,Wegrow,PL,2022-02-01 20:59:44,52.3995,22.0163,34.59,95,100,12.12
68,Wendo,ET,2022-02-01 20:59:44,6.6,38.4167,60.69,45,94,3.58
69,Ushuaia,AR,2022-02-01 20:57:48,-54.8,-68.3,51.42,81,75,37.98
70,Nome,US,2022-02-01 20:57:19,64.5011,-165.4064,19.17,69,0,21.09
71,Yumen,CN,2022-02-01 20:59:45,40.2833,97.2,18.01,28,7,5.19
72,Kodiak,US,2022-02-01 20:57:50,57.79,-152.4072,38.71,100,100,11.5
73,Turbat,PK,2022-02-01 20:59:45,26.0023,63.044,69.58,48,0,2.73
74,Kozlovo,RU,2022-02-01 20:59:46,56.5167,36.2667,21.76,94,100,8.79
75,Khorramshahr,IR,2022-02-01 20:59:46,30.4397,48.1664,55.36,88,0,6.91
76,Mount Gambier,AU,2022-02-01 20:59:47,-37.8333,140.7667,48.11,71,75,4.61
77,Husavik,IS,2022-02-01 20:58:41,66.0449,-17.3389,6.71,82,33,13.98
78,Folldal,NO,2022-02-01 20:59:47,62.1325,9.9968,12.22,96,100,2.84
79,Hithadhoo,MV,2022-02-01 20:57:05,-0.6,73.0833,82.45,72,5,11.39
80,Gonzalez,US,2022-02-01 20:56:20,30.5816,-87.2914,65.66,65,100,1.01
81,Thompson,CA,2022-02-01 20:54:48,55.7435,-97.8558,-14.64,64,20,10.36
82,Tiksi,RU,2022-02-01 20:59:48,71.6872,128.8694,-13.72,99,100,4.5
83,Iqaluit,CA,2022-02-01 20:59:48,63.7506,-68.5145,-14.31,75,75,8.99
84,Upernavik,GL,2022-02-01 20:59:49,72.7868,-56.1549,-15.21,73,100,6.78
85,Ust-Koksa,RU,2022-02-01 20:59:49,50.2696,85.6108,2.12,97,94,0.98
86,Prince Rupert,CA,2022-02-01 20:59:49,54.3161,-130.3201,35.29,93,0,5.75
87,Bengkulu,ID,2022-02-01 20:57:17,-3.8004,102.2655,73.81,85,100,5.91
88,Dikson,RU,2022-02-01 20:59:50,73.5069,80.5464,3.94,93,100,18.3
89,Hasaki,JP,2022-02-01 20:59:50,35.7333,140.8333,32.4,45,0,23.17
90,Mataura,NZ,2022-02-01 20:59:51,-46.1927,168.8643,73.47,66,100,6.82
91,Cape Town,ZA,2022-02-01 20:58:38,-33.9258,18.4232,69.1,84,20,8.05
92,Wanning,CN,2022-02-01 21:00:51,18.8003,110.3967,68.13,92,96,6.22
93,Karla,EE,2022-02-01 21:00:52,59.3723,24.9275,21.16,93,100,4.61
94,Nanakuli,US,2022-02-01 21:00:52,21.3906,-158.1547,80.11,64,100,8.05
95,Wodonga,AU,2022-02-01 21:00:53,-36.1167,146.8833,59.97,100,3,2.66
96,Hervey Bay,AU,2022-02-01 21:00:53,-25.2986,152.8535,81.03,78,100,12.5
97,Hermanus,ZA,2022-02-01 21:00:53,-34.4187,19.2345,69.91,84,24,2.26
98,Ust-Nera,RU,2022-02-01 21:00:54,64.5667,143.2,-2.16,99,100,5.06
99,Paamiut,GL,2022-02-01 21:00:54,61.994,-49.6678,14.32,82,100,11.03
100,Bambous Virieux,MU,2022-02-01 20:57:12,-20.3428,57.7575,79.05,94,75,19.57
101,Zhezkazgan,KZ,2022-02-01 21:00:10,47.8043,67.7144,5.67,95,56,7.99
102,Gallipoli,TR,2022-02-01 21:00:55,40.4103,26.6708,52.23,82,100,11.59
103,Touros,BR,2022-02-01 20:56:05,-5.1989,-35.4608,83.3,75,62,11.99
104,Ilulissat,GL,2022-02-01 21:00:56,69.2167,-51.1,1.42,51,75,3.44
105,Ruidoso,US,2022-02-01 21:00:56,33.3317,-105.673,50.76,23,0,11.5
106,Carnduff,CA,2022-02-01 21:00:57,49.1667,-101.8009,-3.62,85,63,17.74
107,Bethel,US,2022-02-01 21:00:57,41.3712,-73.414,35.96,64,79,3.0
108,Plastun,RU,2022-02-01 21:00:57,44.7561,136.2939,6.3,80,4,6.8
109,Riyadh,SA,2022-02-01 21:00:58,24.6877,46.7219,54.66,31,0,10.71
110,Chifeng,CN,2022-02-01 21:00:58,42.2683,118.9636,9.39,54,0,6.33
111,Wajid,SO,2022-02-01 21:00:59,3.8093,43.2471,83.28,32,100,11.97
112,Wasco,US,2022-02-01 21:00:59,35.5941,-119.341,55.13,41,21,6.93
113,Saint-Augustin,CA,2022-02-01 21:00:59,51.226,-58.6502,-1.1,81,1,9.89
114,Siuna,NI,2022-02-01 21:01:00,13.7332,-84.7773,88.25,40,9,6.62
115,Kibaek,DK,2022-02-01 21:01:00,56.0317,8.857,42.94,78,86,22.86
116,Namibe,AO,2022-02-01 21:01:01,-15.1961,12.1522,73.13,70,24,11.59
117,Suicheng,CN,2022-02-01 21:01:01,33.8963,117.9331,30.97,49,100,5.41
118,Ngunguru,NZ,2022-02-01 21:01:02,-35.6167,174.5,73.17,80,100,17.72
119,Jalu,LY,2022-02-01 21:01:02,29.0331,21.5482,58.01,34,91,13.13
120,Dingle,PH,2022-02-01 21:01:03,10.9995,122.6711,73.27,94,81,7.67
121,Berlevag,NO,2022-02-01 20:57:38,70.8578,29.0864,21.2,67,0,3.44
122,Merrill,US,2022-02-01 20:58:18,45.1805,-89.6835,27.55,59,0,18.41
123,Shache,CN,2022-02-01 21:01:03,38.4167,77.2406,24.96,46,12,1.34
124,Saint-Michel-Des-Saints,CA,2022-02-01 21:01:04,46.6834,-73.9159,19.94,84,100,10.87
125,Shizunai,JP,2022-02-01 21:01:04,42.3339,142.3669,23.81,79,37,8.99
126,Saint-Philippe,RE,2022-02-01 21:01:05,-21.3585,55.7679,81.95,91,96,21.39
127,Along,IN,2022-02-01 21:01:05,28.1667,94.7667,50.97,98,100,1.39
128,Khatanga,RU,2022-02-01 21:01:05,71.9667,102.5,-36.4,99,22,2.46
129,Mamallapuram,IN,2022-02-01 21:01:06,12.6264,80.1722,76.05,66,4,2.86
130,Camacha,PT,2022-02-01 21:01:06,33.0833,-16.3333,63.54,88,20,17.27
131,Yulara,AU,2022-02-01 21:01:06,-25.2406,130.9889,67.84,94,75,12.66
132,Lata,PT,2022-02-01 21:01:07,40.1629,-8.3327,56.07,74,0,4.21
133,Pisco,PE,2022-02-01 20:58:24,-13.7,-76.2167,78.85,57,0,17.27
134,Nishihara,JP,2022-02-01 21:01:07,26.1842,127.7558,61.88,82,92,10.36
135,Kirakira,SB,2022-02-01 21:01:08,-10.4544,161.9205,81.25,81,79,3.58
136,Ust-Kut,RU,2022-02-01 21:01:08,56.7938,105.7672,-2.67,99,100,1.54
137,Pangnirtung,CA,2022-02-01 21:01:26,66.1451,-65.7125,-27.74,86,33,6.42
138,Puerto Madryn,AR,2022-02-01 21:02:09,-42.7692,-65.0385,80.65,33,4,4.81
139,San Cristobal,VE,2022-02-01 21:02:09,7.7669,-72.225,82.87,31,95,6.08
140,Menomonie,US,2022-02-01 20:59:13,44.8755,-91.9193,23.61,54,100,16.11
141,Esperance,AU,2022-02-01 21:02:10,-33.8667,121.9,60.57,69,44,13.73
142,Taltal,CL,2022-02-01 21:00:46,-25.4,-70.4833,68.88,68,20,4.65
143,Teya,RU,2022-02-01 21:00:57,60.3778,92.6267,-0.63,99,97,3.94
144,Clyde,US,2022-02-01 21:02:10,41.3042,-82.9752,46.72,77,100,16.35
145,Aracati,BR,2022-02-01 21:00:16,-4.5617,-37.7697,81.9,72,36,12.66
146,Pangai,TO,2022-02-01 21:02:11,-19.8,-174.35,80.22,69,0,8.46
147,Meybod,IR,2022-02-01 21:02:11,32.2501,54.0166,41.02,73,0,5.73
148,Kargat,RU,2022-02-01 21:02:12,55.1956,80.2811,20.28,96,100,8.48
149,Bredasdorp,ZA,2022-02-01 21:02:12,-34.5322,20.0403,74.8,78,4,2.3
150,Aklavik,CA,2022-02-01 20:58:42,68.2191,-135.0107,-10.37,76,75,2.3
151,Natal,BR,2022-02-01 21:02:13,-5.795,-35.2094,81.48,72,17,10.04
152,Meulaboh,ID,2022-02-01 21:02:13,4.1363,96.1285,75.2,88,91,4.16
153,Miraflores,MX,2022-02-01 21:02:14,19.2167,-98.8083,74.03,24,0,2.66
154,Sawakin,SD,2022-02-01 21:02:14,19.1059,37.3321,69.13,63,15,7.29
155,New Norfolk,AU,2022-02-01 21:02:14,-42.7826,147.0587,53.71,57,8,1.99
156,Vardo,NO,2022-02-01 21:02:14,70.3705,31.1107,17.8,73,0,6.91
157,Baykit,RU,2022-02-01 21:02:15,61.67,96.37,-11.13,100,100,0.51
158,Virginia Beach,US,2022-02-01 20:59:54,36.8529,-75.978,46.02,76,19,1.99
159,Qasigiannguit,GL,2022-02-01 21:02:15,68.8193,-51.1922,1.65,93,100,4.07
160,Faanui,PF,2022-02-01 21:02:16,-16.4833,-151.75,80.53,76,9,19.35
161,Butaritari,KI,2022-02-01 21:01:50,3.0707,172.7902,81.55,76,55,10.45
162,Atambua,ID,2022-02-01 20:59:08,-9.1061,124.8925,74.07,87,73,5.48
163,Ostrovnoy,RU,2022-02-01 21:02:17,68.0531,39.5131,17.56,92,100,7.38
164,Auki,SB,2022-02-01 21:02:17,-8.7676,160.7034,81.01,85,97,5.95
165,Dongsheng,CN,2022-02-01 21:02:18,39.8161,109.9776,10.29,36,0,6.49
166,Naze,JP,2022-02-01 21:02:18,28.3667,129.4833,55.6,72,100,10.87
167,Carnarvon,AU,2022-02-01 21:02:19,-24.8667,113.6333,76.37,77,100,7.94
168,Severo-Kurilsk,RU,2022-02-01 21:02:19,50.6789,156.125,26.85,79,78,10.54
169,Oriximina,BR,2022-02-01 21:02:19,-1.7656,-55.8661,83.34,74,36,4.34
170,Clyde River,CA,2022-02-01 21:02:20,70.4692,-68.5914,-27.17,81,99,2.77
171,Kruisfontein,ZA,2022-02-01 21:02:20,-34.0033,24.7314,74.88,68,100,4.94
172,Bundaberg,AU,2022-02-01 21:01:22,-24.85,152.35,81.21,87,99,1.99
173,Avera,US,2022-02-01 21:02:21,33.194,-82.5271,64.74,48,0,10.27
174,Teguise,ES,2022-02-01 21:01:43,29.0605,-13.564,68.22,33,0,6.91
175,Necochea,AR,2022-02-01 21:01:12,-38.5473,-58.7368,75.04,49,7,11.23
176,Hualmay,PE,2022-02-01 20:58:08,-11.0964,-77.6139,74.79,72,37,10.94
177,Yuzha,RU,2022-02-01 21:02:21,56.5831,42.0122,26.87,92,100,8.97
178,Pokhara,NP,2022-02-01 21:02:22,28.2333,83.9833,46.99,66,14,5.66
179,Kalmunai,LK,2022-02-01 21:00:18,7.4167,81.8167,73.09,76,0,3.33
180,Codrington,AU,2022-02-01 21:03:22,-38.2667,141.9667,57.72,53,54,12.62
181,Asau,RO,2022-02-01 21:03:23,46.4333,26.4,32.95,78,100,3.33
182,Cidreira,BR,2022-02-01 21:03:23,-30.1811,-50.2056,74.32,67,8,9.28
183,Lalupon,NG,2022-02-01 21:03:24,7.4667,4.0667,72.27,32,0,3.85
184,Ust-Omchug,RU,2022-02-01 21:03:24,61.15,149.6333,-15.7,99,86,6.13
185,Huarmey,PE,2022-02-01 21:02:08,-10.0681,-78.1522,75.04,72,100,10.09
186,Rio Grande,BR,2022-02-01 21:03:21,-32.035,-52.0986,78.91,54,0,11.97
187,Shingu,JP,2022-02-01 21:03:25,33.7333,135.9833,41.92,71,4,6.98
188,Torbay,CA,2022-02-01 21:00:12,47.6666,-52.7314,25.39,62,66,5.01
189,Nosy Varika,MG,2022-02-01 21:03:25,-20.5833,48.5333,74.28,87,93,5.5
190,Maunabo,PR,2022-02-01 21:03:26,18.0072,-65.8993,83.64,77,1,8.16
191,Maldonado,UY,2022-02-01 21:01:26,-34.6667,-54.9167,73.22,46,0,9.86
192,Mvangue,CM,2022-02-01 21:03:26,2.9667,11.5167,68.56,83,97,3.06
193,Broken Hill,AU,2022-02-01 21:03:27,-31.95,141.4333,58.71,56,100,23.44
194,Nuuk,GL,2022-02-01 21:03:27,64.1835,-51.7216,9.21,72,100,8.05
195,Port Elizabeth,ZA,2022-02-01 21:01:41,-33.918,25.5701,77.09,76,100,3.62
196,Mahibadhoo,MV,2022-02-01 21:03:27,3.7833,72.9667,82.11,77,78,15.46
197,Busayra,JO,2022-02-01 21:03:28,30.7376,35.6078,44.01,54,0,4.81
198,Chuy,UY,2022-02-01 21:03:28,-33.6971,-53.4616,71.35,51,0,9.57
199,Xucheng,CN,2022-02-01 21:03:29,20.35,110.1288,62.64,92,100,14.23
200,Port Lincoln,AU,2022-02-01 21:03:29,-34.7333,135.8667,60.91,55,68,17.13
201,Mar Del Plata,AR,2022-02-01 21:03:29,-38.0023,-57.5575,84.22,67,0,11.01
202,Palmer,US,2022-02-01 21:03:30,42.1584,-72.3287,35.24,62,75,1.01
203,Galle,LK,2022-02-01 21:03:30,6.0367,80.217,72.45,87,8,5.21
204,Lubango,AO,2022-02-01 21:03:31,-14.9172,13.4925,60.19,51,88,4.09
205,Coihaique,CL,2022-02-01 20:59:09,-45.5752,-72.0662,68.61,37,75,10.36
206,Hwange,ZW,2022-02-01 21:03:31,-18.3693,26.5019,68.27,94,7,2.26
207,Ugoofaaru,MV,2022-02-01 21:03:32,5.6667,73.0,82.13,77,5,15.93
208,Baft,IR,2022-02-01 21:03:32,29.234,56.6057,40.24,84,7,8.23
209,Vila Velha,BR,2022-02-01 21:03:32,-20.3297,-40.2925,82.94,82,20,10.36
210,Rodez,FR,2022-02-01 21:03:33,44.5,2.5833,40.68,100,100,10.36
211,Fort Nelson,CA,2022-02-01 20:59:53,58.8053,-122.7002,-13.41,84,40,0.0
212,Ambunti,PG,2022-02-01 21:03:33,-4.2365,142.8448,72.34,99,97,0.98
213,Marawi,PH,2022-02-01 21:03:34,7.9986,124.2928,63.64,94,100,1.3
214,Aykhal,RU,2022-02-01 21:00:35,66.0,111.5,-23.03,100,10,3.04
215,Alghero,IT,2022-02-01 21:03:09,40.5589,8.3181,42.89,87,0,3.44
216,Longyearbyen,SJ,2022-02-01 21:03:35,78.2186,15.6401,22.84,58,75,4.61
217,Okha,RU,2022-02-01 21:03:35,53.5739,142.9478,1.38,92,93,20.4
218,Cabo San Lucas,MX,2022-02-01 21:01:11,22.8909,-109.9124,83.52,55,0,5.99
219,Santiago Del Estero,AR,2022-02-01 21:00:31,-27.7951,-64.2615,101.37,18,6,9.64
220,Yeppoon,AU,2022-02-01 21:03:36,-23.1333,150.7333,78.58,74,99,3.0
221,Flinders,AU,2022-02-01 21:03:36,-34.5833,150.8552,69.21,89,100,8.99
222,Vestmannaeyjar,IS,2022-02-01 21:03:12,63.4427,-20.2734,35.35,80,100,12.64
223,Grand Gaube,MU,2022-02-01 21:03:36,-20.0064,57.6608,77.38,88,100,15.01
224,Portland,US,2022-02-01 21:00:18,45.5234,-122.6762,46.71,87,100,1.99
225,Champerico,GT,2022-02-01 21:04:37,14.3,-91.9167,85.77,54,1,12.15
226,Tanete,ID,2022-02-01 21:04:37,-3.9443,119.7848,75.31,96,100,1.23
227,East London,ZA,2022-02-01 21:02:31,-33.0153,27.9116,75.81,87,100,6.08
228,Nouadhibou,MR,2022-02-01 21:04:38,20.931,-17.0347,67.03,77,91,13.76
229,Yibin,CN,2022-02-01 21:04:38,28.7667,104.6238,44.24,87,100,1.21
230,Tuatapere,NZ,2022-02-01 21:04:39,-46.1333,167.6833,73.81,77,97,7.45
231,Lompoc,US,2022-02-01 21:04:39,34.6391,-120.4579,68.68,25,0,13.8
232,Jambi,ID,2022-02-01 21:04:39,-1.6,103.6167,72.23,99,100,4.32
233,Airai,TL,2022-02-01 21:04:40,-8.9266,125.4092,59.23,83,80,2.98
234,Santa Maria,BR,2022-02-01 21:03:01,-29.6842,-53.8069,93.99,23,0,7.34
235,Lebu,CL,2022-02-01 21:04:40,-37.6167,-73.65,64.31,76,0,12.35
236,Tsuyama,JP,2022-02-01 21:04:40,35.05,134.0,33.35,92,48,2.13
237,Clearlake,US,2022-02-01 21:04:41,38.9582,-122.6264,59.63,21,0,17.0
238,Novyy Urengoy,RU,2022-02-01 21:03:40,66.0833,76.6333,-15.75,100,100,4.05
239,Valdivia,CL,2022-02-01 21:02:32,-39.8142,-73.2459,71.44,57,6,6.24
240,Inuvik,CA,2022-02-01 21:02:11,68.3499,-133.7218,-10.44,77,75,2.3
241,Araouane,ML,2022-02-01 21:04:42,18.9048,-3.5265,72.1,12,79,10.29
242,Alyangula,AU,2022-02-01 21:00:54,-13.8483,136.4192,81.34,77,100,14.03
243,Beringovskiy,RU,2022-02-01 21:04:42,63.05,179.3167,-0.49,83,99,14.34
244,Mehamn,NO,2022-02-01 21:04:43,71.0357,27.8492,23.18,68,0,23.02
245,Lavrentiya,RU,2022-02-01 21:03:02,65.5833,-171.0,-0.02,78,20,16.04
246,Zhaotong,CN,2022-02-01 21:01:45,27.3167,103.7167,26.24,96,100,4.94
247,Cherskiy,RU,2022-02-01 21:04:43,68.75,161.3,-6.02,80,82,3.36
248,Tuktoyaktuk,CA,2022-02-01 21:02:14,69.4541,-133.0374,-6.2,97,100,7.16
249,Bowen,AU,2022-02-01 21:04:44,-20.0167,148.2333,79.16,82,100,2.73
250,Rock Springs,US,2022-02-01 21:04:44,41.5875,-109.2029,24.24,33,0,11.5
251,Alamosa,US,2022-02-01 21:04:45,37.4695,-105.87,37.38,41,100,9.22
252,Broome,US,2022-02-01 21:04:45,42.2506,-75.833,36.21,53,0,5.01
253,Port Hedland,AU,2022-02-01 21:01:50,-20.3167,118.5667,80.65,100,100,0.0
254,Bonthe,SL,2022-02-01 21:04:46,7.5264,-12.505,78.84,85,66,10.11
255,Asfi,MA,2022-02-01 21:04:46,32.2994,-9.2372,60.24,50,0,16.24
256,Nanortalik,GL,2022-02-01 21:04:46,60.1432,-45.2371,8.8,77,10,11.61
257,Tignere,CM,2022-02-01 21:04:47,7.3667,12.65,65.98,21,17,2.08
258,Verkhnevilyuysk,RU,2022-02-01 21:04:47,63.4453,120.3167,-29.97,99,89,5.21
259,Kungurtug,RU,2022-02-01 21:04:48,50.5994,97.5228,-19.44,99,69,1.63
260,Oistins,BB,2022-02-01 21:04:48,13.0667,-59.5333,80.69,69,40,16.11
261,Alto Araguaia,BR,2022-02-01 21:04:48,-17.3147,-53.2153,72.03,92,97,6.35
